Year,Car Model,Cars Sold
2014,Volkswagen,801336
2014,Ford,531833
2014,Renault,300924
2014,Opel/Vauxhall,252420
2014,Peugeot,215312
2014,Skoda,206362
2014,Nissan,204200
2014,Audi,200157
2015,Volkswagen,1058514
2015,Ford,548874
2015,Renault,500628
2015,Opel/Vauxhall,629124
2015,Nissan,232176
2015,Peugeot,444674
2015,Skoda,379489
2015,Audi,199668
2015,Toyota,184317
2015,Fiat,352861
2015,Mercedes-Benz,173381
2016,Volkswagen,1090286
2016,Renault,532220
2016,Ford,514963
2016,Opel/Vauxhall,683009
2016,Peugeot,249047
2016,Nissan,234340
2016,Toyota,193969
2016,Fiat,375347
2016,Audi,190660
2016,Skoda,177301
2016,Mercedes-Benz,176551
2016,Dacia,170300
2017,Volkswagen,1174205
2017,Renault,708295
2017,Ford,469200
2017,Nissan,247939
2017,Peugeot,592267
2017,Opel/Vauxhall,620935
2017,Skoda,410252
2017,Citroen,207299
2017,Toyota,199182
2017,Dacia,196067
2017,Fiat,377250
2017,Mercedes-Benz,176705
2017,Audi,164045
2018,Volkswagen,1128448
2018,Renault,550988
2018,Ford,621446
2018,Nissan,233026
2018,Peugeot,770375
2018,Skoda,395863
2018,Toyota,217642
2018,Opel/Vauxhall,377311
2018,Dacia,398406
2018,Citroen,210082
2018,Fiat,359902
2018,Mercedes-Benz,156020
